name,danceability,energy,key,loudness,valence,tempo,duration_ms,target
Shape of You,0.825,0.652,1,-3.183,0.931,95.977,233713,0
Despacito - Remix,0.694,0.815,2,-4.328,0.813,88.931,228827,0
Despacito (Featuring Daddy Yankee),0.66,0.786,2,-4.757,0.846,177.833,228200,0
Something Just Like This,0.617,0.635,11,-6.769,0.446,103.019,247160,0
I'm the One,0.609,0.668,7,-4.284,0.811,80.924,288600,0
HUMBLE.,0.904,0.611,1,-6.842,0.4,150.02,177000,0
It Ain't Me (with Selena Gomez),0.64,0.533,0,-6.596,0.515,99.968,220781,0
Unforgettable,0.726,0.769,6,-5.043,0.733,97.985,233902,0
That's What I Like,0.853,0.56,1,-4.961,0.86,134.066,206693,0
"I Don__ Wanna Live Forever (Fifty Shades Darker) - From ""Fifty Shades Darker (Original Motion Picture Soundtrack)""",0.735,0.451,0,-8.374,0.0862,117.973,245200,0
XO TOUR Llif3,0.732,0.75,11,-6.366,0.401,155.096,182707,0
Paris,0.653,0.658,2,-6.428,0.219,99.99,221507,0
Stay (with Alessia Cara),0.679,0.634,5,-5.024,0.498,102.013,210091,0
Attention,0.774,0.626,3,-4.432,0.777,100.041,211475,0
Mask Off,0.833,0.434,2,-8.795,0.281,150.062,204600,0
Congratulations,0.627,0.812,6,-4.215,0.504,123.071,220293,0
Swalla (feat. Nicki Minaj & Ty Dolla $ign),0.696,0.817,1,-3.862,0.782,98.064,216409,0
Castle on the Hill,0.461,0.834,2,-4.868,0.471,135.007,261154,0
Rockabye (feat. Sean Paul & Anne-Marie),0.72,0.763,9,-4.068,0.742,101.965,251088,0
Believer,0.779,0.787,10,-4.305,0.708,124.982,204347,0
Mi Gente,0.543,0.677,11,-4.915,0.294,103.809,189440,0
Thunder,0.6,0.81,0,-4.749,0.298,167.88,187147,0
Say You Won't Let Go,0.358,0.557,10,-7.398,0.494,85.043,211467,0
There's Nothing Holdin' Me Back,0.857,0.8,2,-4.035,0.966,121.996,199440,0
Me RehÃºso,0.744,0.804,1,-6.327,0.426,104.823,205715,0
Issues,0.706,0.427,8,-6.864,0.42,113.804,176320,0
Galway Girl,0.624,0.876,9,-3.374,0.781,99.943,170827,0
Scared to Be Lonely,0.584,0.54,1,-7.786,0.195,137.972,220883,0
Closer,0.748,0.524,8,-5.599,0.661,95.01,244960,0
Symphony (feat. Zara Larsson),0.707,0.629,0,-4.581,0.457,122.863,212459,0
I Feel It Coming,0.768,0.813,0,-5.94,0.579,92.994,269187,0
Starboy,0.681,0.594,7,-7.028,0.535,186.054,230453,0
Wild Thoughts,0.671,0.672,0,-3.094,0.632,97.98,204173,0
Slide,0.736,0.795,1,-3.299,0.511,104.066,230813,0
New Rules,0.771,0.696,9,-6.258,0.656,116.054,208827,0
1-800-273-8255,0.629,0.572,5,-7.733,0.386,100.015,250173,0
Passionfruit,0.809,0.463,11,-11.377,0.364,111.98,298941,0
rockstar,0.577,0.522,5,-6.594,0.119,159.772,218320,0
Strip That Down,0.869,0.485,6,-5.595,0.527,106.028,204502,0
2U (feat. Justin Bieber),0.548,0.65,8,-5.827,0.557,144.937,194897,0
Perfect,0.599,0.448,8,-6.312,0.168,95.05,263400,0
Call On Me - Ryan Riback Extended Remix,0.676,0.843,0,-4.068,0.718,105.003,222041,0
Feels,0.893,0.745,11,-3.105,0.872,101.018,223413,0
Mama,0.746,0.793,11,-4.209,0.557,104.027,181615,0
Felices los 4,0.755,0.789,5,-4.502,0.737,93.973,229849,0
iSpy (feat. Lil Yachty),0.746,0.653,7,-6.745,0.672,75.016,253107,0
Location,0.736,0.449,1,-11.462,0.326,80.126,219080,0
Chantaje,0.852,0.773,8,-2.921,0.907,102.034,195840,0
Bad and Boujee (feat. Lil Uzi Vert),0.927,0.665,11,-5.313,0.175,127.076,343150,0
Havana,0.768,0.517,7,-4.323,0.418,104.992,216897,0
Solo Dance,0.744,0.836,6,-2.396,0.36,114.965,174933,0
Fake Love,0.927,0.488,9,-9.433,0.605,133.987,210937,0
Let Me Love You,0.476,0.718,8,-5.309,0.142,199.864,205947,0
More Than You Know,0.644,0.743,5,-5.002,0.544,123.074,203000,0
One Dance,0.791,0.619,1,-5.886,0.371,103.989,173987,0
SUBEME LA RADIO,0.684,0.823,9,-3.297,0.647,91.048,208163,0
Pretty Girl - Cheat Codes X CADE Remix,0.703,0.868,7,-4.661,0.733,121.03,193613,0
Sorry Not Sorry,0.704,0.633,11,-6.923,0.863,144.021,203760,0
Redbone,0.743,0.359,1,-10.401,0.587,160.083,326933,0
24K Magic,0.818,0.803,1,-4.282,0.632,106.97,225983,0
DNA.,0.637,0.514,1,-6.763,0.402,139.931,185947,0
El Amante,0.683,0.691,8,-5.535,0.732,179.91,219507,0
You Don't Know Me - Radio Edit,0.876,0.669,11,-6.054,0.682,124.007,213947,0
Chained To The Rhythm,0.448,0.801,0,-5.363,0.462,189.798,237734,0
No Promises (feat. Demi Lovato),0.741,0.667,10,-5.445,0.595,112.956,223504,0
Don't Wanna Know (feat. Kendrick Lamar),0.775,0.617,7,-6.166,0.485,100.048,214265,0
"How Far I'll Go - From ""Moana""",0.314,0.555,9,-9.601,0.159,179.666,175517,0
Slow Hands,0.734,0.418,0,-6.678,0.868,85.909,188174,0
EscÃ¡pate Conmigo,0.747,0.864,8,-3.181,0.754,92.028,232787,0
Bounce Back,0.77,0.567,2,-5.698,0.26,81.477,222360,0
Sign of the Times,0.516,0.595,5,-4.63,0.222,119.972,340707,0
goosebumps,0.841,0.728,7,-3.37,0.43,130.049,243837,0
Young Dumb & Broke,0.798,0.539,1,-6.351,0.394,136.949,202547,0
There for You,0.611,0.644,6,-7.607,0.13,105.969,221904,0
Cold (feat. Future),0.697,0.716,9,-6.288,0.506,99.905,234308,0
Silence,0.52,0.761,4,-3.093,0.286,141.971,180823,0
Too Good At Goodbyes,0.698,0.375,5,-8.279,0.534,91.92,201000,0
Just Hold On,0.647,0.932,11,-3.515,0.374,114.991,198774,0
Look What You Made Me Do,0.773,0.68,9,-6.378,0.497,128.062,211859,0
Glorious (feat. Skylar Grey),0.731,0.794,0,-5.126,0.356,139.994,220454,0
Starving,0.721,0.626,4,-4.2,0.558,99.914,181933,0
ReggaetÃ_n Lento (Bailemos),0.761,0.838,4,-3.073,0.71,93.974,222560,0
Weak,0.673,0.637,5,-4.518,0.678,123.98,201160,0
Side To Side,0.648,0.738,6,-5.883,0.603,159.145,226160,0
Otra Vez (feat. J Balvin),0.832,0.772,10,-5.429,0.704,96.016,209453,0
I Like Me Better,0.752,0.505,9,-7.621,0.419,91.97,197437,0
In the Name of Love,0.49,0.485,4,-6.237,0.196,133.889,195840,0
Cold Water (feat. Justin Bieber & M_),0.608,0.798,6,-5.092,0.501,92.943,185352,0
Malibu,0.573,0.781,8,-6.406,0.343,139.934,231907,0
All Night,0.544,0.809,8,-5.098,0.448,145.017,197640,0
Hear Me Now,0.789,0.442,11,-7.844,0.45,121.971,192846,0
Your Song,0.855,0.624,1,-4.093,0.962,117.959,180757,0
Ahora Dice,0.708,0.693,6,-5.516,0.427,143.965,271080,0
Friends (with BloodPopÂ®),0.744,0.739,8,-5.35,0.649,104.99,189467,0
Bank Account,0.884,0.346,8,-8.228,0.376,75.016,220307,0
Bad Things (with Camila Cabello),0.675,0.69,2,-4.761,0.272,137.817,239293,0
Don't Let Me Down,0.542,0.859,11,-5.651,0.403,159.797,208053,0
Body Like A Back Road,0.731,0.469,5,-7.226,0.631,98.963,165387,0
Now Or Never,0.658,0.588,6,-4.902,0.434,110.075,214802,0
Dusk Till Dawn - Radio Edit,0.258,0.437,11,-6.593,0.0967,180.043,239000,0
Safari,0.508,0.687,0,-4.361,0.565,180.044,205600,1
Alguien Robo,0.745,0.921,0,-2.674,0.645,92.973,223613,1
Vacaciones,0.772,0.909,6,-3.225,0.679,96.031,238800,1
Te Quiero PaÎ‚Mi,0.761,0.82,1,-4.003,0.619,88.997,211627,1
Ay Mi Dios,0.761,0.829,0,-3.203,0.82,92.033,252003,1
Traicionera,0.776,0.669,11,-4.933,0.646,91.012,228467,1
Si T’_ La Ves,0.685,0.731,5,-5.119,0.776,177.912,221027,1
Lumbra,0.724,0.84,0,-3.581,0.833,92.01,197087,1
La Bicicleta,0.746,0.961,0,-2.243,0.954,179.984,227457,1
Bailame,0.817,0.869,6,-4.791,0.56,96.029,207200,1
Dile Que Tu Me Quieres,0.721,0.687,1,-6.682,0.828,175.914,226400,1
Deja vu,0.732,0.801,9,-3.859,0.818,123.981,196480,1
S’© Que Te Duele,0.682,0.858,9,-4.711,0.772,94.954,228147,1
Borro Cassette,0.73,0.701,5,-5.885,0.789,175.95,207307,1
DUELE EL CORAZON,0.724,0.904,8,-3.354,0.851,90.999,200813,1
Andas En Mi Cabeza,0.68,0.954,9,-1.823,0.524,104.029,247493,1
Chillax,0.827,0.646,1,-4.727,0.51,92.057,197840,1
Hasta el Amanecer,0.832,0.608,6,-6.042,0.579,94.013,198707,1
Bailame Despacio,0.688,0.719,2,-4.746,0.589,88.015,240000,1
Shaky Shaky,0.899,0.626,6,-4.228,0.871,88.007,234320,1
Bes’çndote,0.724,0.809,7,-4.96,0.495,95.037,181048,1
Ando buscando (feat. Piso 21),0.712,0.841,7,-5.432,0.656,98.003,199281,1
Hula Hoop,0.801,0.822,6,-4.655,0.938,176.048,236493,1
Qu’© Gano Olvid’çndote - Versi’_n Urbana,0.49,0.894,11,-1.708,0.656,197.989,246853,1
Ya Me Enter’© (feat. Nicky Jam) - Urban Version,0.768,0.742,9,-6.308,0.8,114.679,219227,1
Mi Tesoro (feat. Nicky Jam),0.725,0.711,10,-4.544,0.476,93.003,246653,1
T’_ S’_ Sabes Quererme,0.612,0.57,1,-9.62,0.813,169.842,245493,1
Si Me Dices Que Si (feat. Nicky Jam),0.67,0.679,7,-5.618,0.794,172.069,276688,1
Fuego,0.779,0.659,0,-5.455,0.924,95.003,166600,1
Al Filo de Tu Amor,0.712,0.901,1,-4.699,0.84,97.98,214072,1
Young And Menace,0.648,0.833,11,-5.116,0.301,108.001,223800,1
"Sugar, We're Goin Down",0.499,0.824,7,-4.741,0.692,161.977,229093,1
Centuries,0.385,0.866,4,-2.817,0.548,176.014,228360,1
My Songs Know What You Did In The Dark (Light Em Up),0.561,0.927,9,-4.374,0.562,152.011,186827,1
Immortals,0.613,0.874,2,-3.594,0.532,108.038,189387,1
Uma Thurman,0.623,0.956,4,-2.608,0.718,149.958,211573,1
"Dance, Dance",0.616,0.961,11,-3.144,0.531,114.492,180267,1
"This Ain't A Scene, It's An Arms Race",0.607,0.889,9,-4.034,0.376,100.034,212040,1
Bad Liar,0.95,0.412,1,-6.592,0.741,121.019,214648,1
Despacito - Remix,0.63,0.815,2,-4.265,0.814,88.357,228827,1
Thunder,0.608,0.841,0,-3.798,0.25,167.969,187761,1
Attention,0.774,0.626,3,-4.432,0.758,100.041,211475,1
There's Nothing Holdin' Me Back,0.857,0.8,2,-4.035,0.965,121.996,199440,1
Quit (feat. Ariana Grande),0.44,0.413,0,-7.425,0.125,131.659,258188,1
The Cure,0.696,0.503,8,-4.842,0.539,99.977,211364,1
First Time,0.633,0.592,0,-7.245,0.643,90.066,193511,1
No Vacancy,0.711,0.722,5,-3.946,0.483,99.954,223190,1
Most Girls,0.76,0.588,9,-7.082,0.384,102.974,204400,1
Malibu,0.565,0.782,8,-6.413,0.392,140.004,231906,1
Stay (with Alessia Cara),0.457,0.627,5,-5.091,0.535,101.384,210091,1
1-800-273-8255,0.622,0.593,5,-7.755,0.361,100.048,250200,1
Pretty Girl - Cheat Codes X CADE Remix,0.703,0.868,7,-4.661,0.732,121.03,193613,1
Now Or Never,0.66,0.575,6,-4.934,0.485,110.091,214802,1
No Promises (feat. Demi Lovato),0.741,0.667,10,-5.445,0.609,112.956,223504,1
Slow Hands,0.726,0.429,0,-6.623,0.874,85.899,188174,1
Bad Bitch (feat. Ty Dolla $ign),0.656,0.615,5,-6.252,0.364,139.91,197253,1
Good Life (with G-Eazy & Kehlani),0.565,0.771,1,-5.22,0.551,168.385,225526,1
The Night We Met,0.549,0.371,2,-9.56,0.117,87.024,206933,1
Rollin,0.754,0.762,6,-4.486,0.673,92.002,272667,1
Obsession (feat. Jon Bellion),0.741,0.559,10,-7.775,0.441,101.999,221983,1
Whippin (feat. Felix Snow),0.87,0.502,5,-7.497,0.676,82.53,160597,1
Symphony,0.718,0.609,0,-4.699,0.47,122.948,214867,1
Break Up Every Night,0.624,0.806,1,-5.957,0.536,149.999,207520,1
Unforgettable,0.726,0.769,6,-5.043,0.75,97.985,233833,1
HUMBLE.,0.905,0.596,1,-7.496,0.419,149.996,177604,1
do re mi,0.747,0.592,8,-6.334,0.16,110.991,212027,1
Swalla (feat. Nicki Minaj & Ty Dolla $ign),0.696,0.817,1,-3.862,0.779,98.064,216409,1
Whatever It Takes,0.673,0.676,1,-5.002,0.568,134.944,201601,1
Touch,0.607,0.718,4,-4.095,0.521,101.821,213307,1
Selfish,0.415,0.369,8,-10.044,0.0951,95.746,251423,1
It Ain_—Èt Me (with Selena Gomez),0.648,0.532,0,-6.597,0.497,99.983,220781,1
Mama,0.747,0.799,11,-4.066,0.537,104.02,184134,1
The One,0.76,0.303,2,-11.362,0.157,99.991,177573,1
