name,artists,danceability,energy,key,loudness,valence,tempo,duration_ms,evaluation,
Shape of You,Ed Sheeran,0.825,0.652,1,-3.183,0.931,95.977,233713,high,
Despacito - Remix,Luis Fonsi,0.694,0.815,2,-4.328,0.813,88.931,228827,high,
Despacito (Featuring Daddy Yankee),Luis Fonsi,0.66,0.786,2,-4.757,0.846,177.833,228200,high,
Something Just Like This,The Chainsmokers,0.617,0.635,11,-6.769,0.446,103.019,247160,high,
I'm the One,DJ Khaled,0.609,0.668,7,-4.284,0.811,80.924,288600,high,
HUMBLE.,Kendrick Lamar,0.904,0.611,1,-6.842,0.4,150.02,177000,high,
It Ain't Me (with Selena Gomez),Kygo,0.64,0.533,0,-6.596,0.515,99.968,220781,high,
Unforgettable,French Montana,0.726,0.769,6,-5.043,0.733,97.985,233902,high,
That's What I Like,Bruno Mars,0.853,0.56,1,-4.961,0.86,134.066,206693,high,
"I Don__ Wanna Live Forever (Fifty Shades Darker) - From ""Fifty Shades Darker (Original Motion Picture Soundtrack)""",ZAYN,0.735,0.451,0,-8.374,0.0862,117.973,245200,high,
XO TOUR Llif3,Lil Uzi Vert,0.732,0.75,11,-6.366,0.401,155.096,182707,high,
Paris,The Chainsmokers,0.653,0.658,2,-6.428,0.219,99.99,221507,high,
Stay (with Alessia Cara),Zedd,0.679,0.634,5,-5.024,0.498,102.013,210091,high,
Attention,Charlie Puth,0.774,0.626,3,-4.432,0.777,100.041,211475,high,
Mask Off,Future,0.833,0.434,2,-8.795,0.281,150.062,204600,high,
Congratulations,Post Malone,0.627,0.812,6,-4.215,0.504,123.071,220293,high,
Swalla (feat. Nicki Minaj & Ty Dolla $ign),Jason Derulo,0.696,0.817,1,-3.862,0.782,98.064,216409,high,
Castle on the Hill,Ed Sheeran,0.461,0.834,2,-4.868,0.471,135.007,261154,high,
Rockabye (feat. Sean Paul & Anne-Marie),Clean Bandit,0.72,0.763,9,-4.068,0.742,101.965,251088,high,
Believer,Imagine Dragons,0.779,0.787,10,-4.305,0.708,124.982,204347,high,
Mi Gente,J Balvin,0.543,0.677,11,-4.915,0.294,103.809,189440,high,
Thunder,Imagine Dragons,0.6,0.81,0,-4.749,0.298,167.88,187147,high,
Say You Won't Let Go,James Arthur,0.358,0.557,10,-7.398,0.494,85.043,211467,high,
There's Nothing Holdin' Me Back,Shawn Mendes,0.857,0.8,2,-4.035,0.966,121.996,199440,high,
Me Rehúso,Danny Ocean,0.744,0.804,1,-6.327,0.426,104.823,205715,high,
Issues,Julia Michaels,0.706,0.427,8,-6.864,0.42,113.804,176320,high,
Galway Girl,Ed Sheeran,0.624,0.876,9,-3.374,0.781,99.943,170827,high,
Scared to Be Lonely,Martin Garrix,0.584,0.54,1,-7.786,0.195,137.972,220883,high,
Closer,The Chainsmokers,0.748,0.524,8,-5.599,0.661,95.01,244960,high,
Symphony (feat. Zara Larsson),Clean Bandit,0.707,0.629,0,-4.581,0.457,122.863,212459,medium,
I Feel It Coming,The Weeknd,0.768,0.813,0,-5.94,0.579,92.994,269187,medium,
Starboy,The Weeknd,0.681,0.594,7,-7.028,0.535,186.054,230453,medium,
Wild Thoughts,DJ Khaled,0.671,0.672,0,-3.094,0.632,97.98,204173,medium,
Slide,Calvin Harris,0.736,0.795,1,-3.299,0.511,104.066,230813,medium,
New Rules,Dua Lipa,0.771,0.696,9,-6.258,0.656,116.054,208827,medium,
1-800-273-8255,Logic,0.629,0.572,5,-7.733,0.386,100.015,250173,medium,
Passionfruit,Drake,0.809,0.463,11,-11.377,0.364,111.98,298941,medium,
rockstar,Post Malone,0.577,0.522,5,-6.594,0.119,159.772,218320,medium,
Strip That Down,Liam Payne,0.869,0.485,6,-5.595,0.527,106.028,204502,medium,
2U (feat. Justin Bieber),David Guetta,0.548,0.65,8,-5.827,0.557,144.937,194897,medium,
Perfect,Ed Sheeran,0.599,0.448,8,-6.312,0.168,95.05,263400,medium,
Call On Me - Ryan Riback Extended Remix,Starley,0.676,0.843,0,-4.068,0.718,105.003,222041,medium,
