name,artist,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,target
Shape of You,Ed Sheeran,0.825,0.652,1,-3.183,0,0.0802,0.581,0,0.0931,0.931,95.977,233713,4,0
Despacito - Remix,Luis Fonsi,0.694,0.815,2,-4.328,1,0.12,0.229,0,0.0924,0.813,88.931,228827,4,0
Despacito (Featuring Daddy Yankee),Luis Fonsi,0.66,0.786,2,-4.757,1,0.17,0.209,0,0.112,0.846,177.833,228200,4,0
Something Just Like This,The Chainsmokers,0.617,0.635,11,-6.769,0,0.0317,0.0498,1.44E-05,0.164,0.446,103.019,247160,4,0
I'm the One,DJ Khaled,0.609,0.668,7,-4.284,1,0.0367,0.0552,0,0.167,0.811,80.924,288600,4,0
HUMBLE.,Kendrick Lamar,0.904,0.611,1,-6.842,0,0.0888,0.000259,2.03E-05,0.0976,0.4,150.02,177000,4,0
It Ain't Me (with Selena Gomez),Kygo,0.64,0.533,0,-6.596,1,0.0706,0.119,0,0.0864,0.515,99.968,220781,4,0
Unforgettable,French Montana,0.726,0.769,6,-5.043,1,0.123,0.0293,0.0101,0.104,0.733,97.985,233902,4,0
That's What I Like,Bruno Mars,0.853,0.56,1,-4.961,1,0.0406,0.013,0,0.0944,0.86,134.066,206693,4,0
"I Donâ€™t Wanna Live Forever (Fifty Shades Darker) - From ""Fifty Shades Darker (Original Motion Picture Soundtrack)""",ZAYN,0.735,0.451,0,-8.374,1,0.0585,0.0631,1.30E-05,0.325,0.0862,117.973,245200,4,0
XO TOUR Llif3,Lil Uzi Vert,0.732,0.75,11,-6.366,0,0.231,0.00264,0,0.109,0.401,155.096,182707,4,0
Paris,The Chainsmokers,0.653,0.658,2,-6.428,1,0.0304,0.0215,1.66E-06,0.0939,0.219,99.99,221507,4,0
Stay (with Alessia Cara),Zedd,0.679,0.634,5,-5.024,0,0.0654,0.232,0,0.115,0.498,102.013,210091,4,0
Attention,Charlie Puth,0.774,0.626,3,-4.432,0,0.0432,0.0969,3.12E-05,0.0848,0.777,100.041,211475,4,0
Mask Off,Future,0.833,0.434,2,-8.795,1,0.431,0.0102,0.0219,0.165,0.281,150.062,204600,4,0
